x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.6174737,5797.291,1.3194789,10.198205,0.13785394,0.08838327,0.07328275,0.04885801
0.6444861,3358.0112,2.2591147,3.531771,0.10070497,0.1148485,0.06967212,0.07684778
0.6505526,3373.213,2.059227,3.9935598,0.1001763,0.1209045,0.0678359,0.08013146
0.64964736,3844.975,2.1240711,6.0190754,0.13334067,0.06765871,0.11610338,0.097351834
0.667748,2137.5603,1.8640801,1.2513723,0.08141969,0.14276683,0.06706096,0.0875265
0.61374193,2454.2847,2.6065412,1.1236148,0.10274679,0.08755702,0.08951299,0.0662707
0.6351312,2023.228,1.6275085,0.82899565,0.10357943,0.09338537,0.096267834,0.06559022
0.6179502,3140.7778,2.6672504,1.9573576,0.0995462,0.11035049,0.08267065,0.085308954
0.6221141,2875.9648,2.037692,1.9473126,0.104128055,0.10975278,0.07774059,0.08617812
0.6179206,2553.4734,2.1948376,1.2456888,0.112302974,0.17308995,0.10165166,0.052216597
0.6158449,2541.6282,1.493854,1.2160819,0.1291442,0.06669991,0.061919983,0.08206504
0.61733663,2276.691,1.7746238,0.87499774,0.14458844,0.07174228,0.056423254,0.09165358
0.5916948,2812.8376,2.1827064,1.1650413,0.1691086,0.14508373,0.05960855,0.0873543
0.6007186,2787.997,1.5381696,1.2244437,0.17108603,0.12721905,0.05252504,0.08563094
0.69025564,1965.6661,2.193031,1.4009206,0.07137385,0.07033103,0.09601668,0.07737854
0.692541,1927.3682,2.0053668,1.3039939,0.07535181,0.06876859,0.094628066,0.079697736
0.6407013,4427.247,1.5445379,7.687203,0.13181975,0.11976773,0.061233766,0.050563637
0.65515816,4159.566,1.1299467,7.5358324,0.12522186,0.1357333,0.065868266,0.056490045
0.6498801,4327.9307,1.8303058,7.801928,0.11359259,0.12053416,0.08975402,0.076259166
0.6496992,4448.7373,0.70416385,9.137062,0.08954308,0.09298569,0.06670546,0.067688085
0.6726061,1493.0222,3.0232081,0.5165496,0.16794214,0.10928747,0.08399581,0.101514265
0.6830787,3251.859,1.8922288,6.4649134,0.119756855,0.070152104,0.086730875,0.07442156
0.62623066,4585.0693,0.92611456,6.5596137,0.10875242,0.16688564,0.08421332,0.070647955
0.6596964,4056.9766,2.6804302,7.1091537,0.14274576,0.09806683,0.08806597,0.08827452
0.6726399,3798.44,1.8352786,10.067776,0.13039847,0.1054497,0.108517736,0.0680484
0.70121026,3128.1467,0.76974493,7.9908614,0.12445263,0.10253128,0.10025792,0.06292536
0.7314823,2598.8079,0.11530175,7.9054947,0.11249614,0.07317689,0.10066056,0.06348355
