x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.6450124,2992.4922,0.4099747,3.086663,0.04133648,0.0873427,0.10973054,0.060982287
0.6583325,2514.1067,2.4510906,2.4495592,0.068028405,0.10542119,0.10684213,0.13624832
0.59714895,2916.9717,1.2488798,1.5338176,0.07573035,0.055786744,0.10214547,0.06162803
0.60582066,2358.1528,1.2141771,0.88478374,0.062509954,0.08673094,0.06040509,0.041590292
0.6336836,1963.7385,1.3626359,0.7745974,0.05375665,0.08376587,0.060999956,0.050985225
0.60018015,1662.455,1.8591746,0.36692476,0.043975867,0.07972145,0.06812134,0.050981283
0.6045549,2165.8572,0.6201307,0.7389827,0.050910242,0.0890553,0.088651165,0.05560348
0.63033897,2307.6804,1.0177749,1.1257441,0.06310821,0.061063338,0.068800814,0.034198448
0.60745627,2832.9429,3.113396,1.5947007,0.053338036,0.065429516,0.089727625,0.036059856
0.6664778,3676.545,0.98836654,7.275873,0.05815911,0.042095397,0.03618462,0.2931397
0.690171,3412.764,0.5878855,9.130292,0.054835755,0.052295547,0.040832713,0.31371722
0.5205657,3177.2522,0.57685566,0.8615848,0.40936384,0.1395221,0.05828558,0.15193652
0.68213814,3032.0583,1.8241582,5.491812,0.16084522,0.056587033,0.12451303,0.08050129
0.6130928,4545.064,1.1624756,5.1286564,0.07388839,0.11032576,0.17304,0.05511901
0.5906354,5138.2793,0.68706053,5.3181896,0.092599325,0.14399293,0.19644523,0.046392314
0.55562896,1789.443,0.5110275,0.34824476,0.04071238,0.10246258,0.04902689,0.07142846
0.60353154,5037.1694,1.1157805,6.713494,0.15075082,0.10557143,0.09516378,0.077370495
0.6571109,2098.61,1.8057386,1.3807405,0.07514602,0.18459725,0.085040554,0.09861312
0.629439,3643.6162,2.1406841,4.29784,0.08855114,0.11476885,0.06523424,0.059799876
0.61697865,3648.69,0.7833731,3.3556507,0.065972276,0.10597247,0.057012632,0.06691315
0.7189588,2887.5066,3.1575477,11.077405,0.10583735,0.0598092,0.06333597,0.030998288
0.6617873,4326.1685,2.0595381,10.769752,0.089826554,0.041208,0.07308768,0.03683524
0.66248864,4240.629,0.8462975,9.811045,0.058637887,0.15277281,0.1576016,0.090645105
0.700956,3426.0034,0.70951164,11.239869,0.058289208,0.102394275,0.13759384,0.11566044
0.6340682,1382.0338,1.9799848,0.27979967,0.09263207,0.06406558,0.046796724,0.12499991
0.5790899,1979.3347,4.0944996,0.5322658,0.095376134,0.06604812,0.05154839,0.13984336
0.76116014,1686.4111,0.059378516,2.8400211,0.07144318,0.04796626,0.11765534,0.07840161
0.70955735,2384.9429,0.09595495,3.9132316,0.10431412,0.061061215,0.07227452,0.073656924
0.7120544,2422.0442,0.10427714,4.356209,0.10430664,0.05382452,0.07207175,0.07580442
0.586452,5199.5996,0.41215682,5.3056073,0.16391492,0.10259094,0.06605525,0.08446564
0.65215707,2379.7312,4.4022226,1.5738795,0.19309783,0.10765612,0.04767646,0.18559188
0.6451778,2104.3164,2.800987,0.98849505,0.16666222,0.11635763,0.055487778,0.13624267
0.67094123,3687.0781,2.1194837,8.413133,0.056697134,0.08634894,0.059732858,0.055336114
0.6246482,4892.1396,4.514391,8.184083,0.056075126,0.058456797,0.04954945,0.04870328
0.64645934,4656.3706,1.1931627,10.373882,0.045944132,0.045644894,0.045136355,0.038308855
0.65775347,4235.1772,1.9674845,9.851283,0.03480874,0.057528876,0.0740953,0.04975344
0.6502027,3896.071,2.5349379,6.668611,0.041090958,0.06863547,0.06939414,0.040031128
0.6502041,4037.028,1.1012561,7.331662,0.11937455,0.08933914,0.14784746,0.038886562
0.6476603,2022.7948,3.4431968,0.960571,0.05399861,0.08916898,0.047626186,0.03915622
0.63395035,2039.3083,4.1224403,0.8708778,0.05115302,0.081673175,0.046560995,0.036921643
0.66443366,2924.8943,0.3434904,3.7651467,0.05070298,0.06804158,0.09422566,0.10388839
0.63429344,3474.5596,4.0930114,3.852229,0.08723654,0.09865427,0.05501794,0.054054227
0.5917356,3415.2522,0.75918746,1.9898716,0.15477957,0.111180164,0.03978982,0.032795217
0.70096695,3109.0342,3.718222,9.380123,0.14137453,0.07238244,0.07208876,0.06847148
0.7165718,2853.5625,5.4194727,9.117046,0.1267663,0.080776796,0.07373518,0.06546418
0.62977064,4419.173,1.7502699,5.9316015,0.12507479,0.11177807,0.09513918,0.055934787
0.67628443,2933.6953,1.8420316,3.9229927,0.06758933,0.0904026,0.108937785,0.05253292
0.6776793,2726.6365,3.7157638,3.8548968,0.039392136,0.06573711,0.13414037,0.052967906
0.6538913,3052.2075,1.6214162,3.4920292,0.037997723,0.037170675,0.2390379,0.047293495
0.6008997,3625.0713,1.1129776,2.7643042,0.038249422,0.03937685,0.2137295,0.044564977
0.73688805,1787.8525,1.1435829,2.0616105,0.04316418,0.077116944,0.08079659,0.06270726
0.58027846,3024.9243,2.8439941,1.2970382,0.04779913,0.046056665,0.059601612,0.060121715
0.62858194,3370.259,0.7550307,2.8659027,0.05248034,0.17820454,0.05178343,0.075771734
0.6109934,2918.073,2.1825533,1.6801035,0.065794826,0.16767596,0.068986736,0.038440887
0.6385832,2069.5547,2.2683363,0.9696076,0.052337307,0.13500431,0.0449177,0.030879999
0.71123916,2215.447,2.029661,3.1946812,0.03893589,0.1824359,0.03563185,0.02687766
0.6551962,3461.4346,1.9487695,4.7454667,0.071532644,0.22743256,0.06621359,0.05160064
0.6546804,2859.1902,1.7218505,2.6859713,0.05846488,0.20034693,0.101321116,0.058210615
0.6396102,2062.4062,2.2962296,0.9080876,0.113597244,0.3008238,0.10949336,0.046954952
0.71025354,3001.524,0.49521232,9.451797,0.13058215,0.10610631,0.032644324,0.056335937
0.46364185,1404.1483,0.10107631,0.105115876,0.041652065,0.060314488,0.13974546,0.06264628
0.53193396,1447.2986,0.084964,0.1703116,0.03523571,0.051458,0.20436063,0.08803714
0.6398795,4624.269,1.0491073,9.562541,0.13902712,0.06482041,0.105125375,0.050146375
0.5476277,1446.6173,1.00707,0.19334564,0.0394919,0.074216396,0.03917691,0.05144332
0.55763626,1506.8992,2.625566,0.24119765,0.09587124,0.06847872,0.13837294,0.09614679
0.66507035,3958.7053,1.8089337,9.831723,0.09123422,0.05528653,0.058129333,0.08324703
0.6996068,2656.716,2.0419154,5.1653576,0.045498922,0.05312597,0.050775204,0.031539597
0.6455565,3416.7444,2.6136,4.1682153,0.054463387,0.048039816,0.046001256,0.027791362
0.67550915,2316.5854,3.8708036,2.103569,0.05905877,0.04970937,0.046205908,0.03174259
0.6609562,3289.3354,2.8084223,4.6384463,0.06783892,0.06237552,0.04049718,0.028434318
0.6410089,2910.882,3.1610293,2.5012941,0.06144767,0.044974096,0.05567992,0.027204322
0.649508,3150.5566,4.2440376,3.6406155,0.050466925,0.041075166,0.058765806,0.02664313
0.6416002,3667.7766,0.42191207,5.0428796,0.04146989,0.114274696,0.040469017,0.04510394
0.6628811,3727.5168,0.6265238,6.605793,0.042026505,0.10692686,0.040736303,0.045407623
0.665589,2720.1147,2.96602,3.04531,0.06856209,0.036248196,0.063026235,0.023239832
0.61910427,2862.065,0.8861973,1.9541773,0.047270812,0.07226937,0.06434048,0.080918506
0.6677904,2919.911,2.197703,3.9304616,0.049744755,0.08696085,0.05963014,0.051712763
0.69568896,2740.3755,3.898586,5.278995,0.04619651,0.07192066,0.055820525,0.07200626
0.64081514,4106.1895,0.28445297,5.823342,0.12114404,0.16949214,0.049252033,0.03243468
0.70722365,2962.071,0.3306609,7.154,0.057559773,0.2649202,0.05640351,0.06850619
0.60952675,4522.0034,1.580884,4.7670646,0.04617987,0.2845482,0.04874245,0.054022484
0.6990642,3164.3086,1.8325717,9.599126,0.049395677,0.17536968,0.043279976,0.048204362
0.69988227,3253.477,2.605584,10.281352,0.07436911,0.1625579,0.038350187,0.06430573
0.58910555,6955.074,0.74374974,10.916613,0.24040018,0.067068286,0.06564631,0.06878866
0.5575213,1231.8628,2.5097892,0.1463242,0.09171535,0.12578708,0.054839768,0.058039814
0.4178547,1261.3634,2.143472,0.022930888,0.05059634,0.07027848,0.043681316,0.06604719
0.48298326,1148.9224,2.1231732,0.035040103,0.064819865,0.21746781,0.04352119,0.06598221
0.44206583,1097.7377,1.9067733,0.015909018,0.076897725,0.06308029,0.083070256,0.1472587
0.4413205,1226.8171,0.9497018,0.017075285,0.06406263,0.06699172,0.09211199,0.15583195
0.42912874,1094.1794,1.469719,0.013732826,0.0694146,0.070266604,0.092184275,0.1318159
0.48924744,1006.96814,2.4613192,0.028198488,0.10155978,0.11503641,0.068617456,0.19378015
0.54630727,1011.30865,0.7931548,0.02321209,0.10925103,0.103575036,0.09750896,0.1789878
0.49768144,1063.2805,2.1223402,0.018272242,0.09032741,0.048568446,0.08359483,0.13431908
0.48135605,1220.5552,0.7897594,0.04292633,0.08583913,0.05060346,0.039676234,0.08670832
0.4794301,1199.0978,0.8023998,0.045875654,0.08643842,0.051314197,0.040138435,0.08573815
0.46160978,1045.3619,2.2223263,0.011922329,0.14899157,0.05219017,0.09039329,0.05423122
0.4493815,1053.5387,2.651098,0.01257697,0.14318845,0.05187793,0.0944836,0.058268394
0.44048917,1156.6835,1.2649897,0.018634886,0.0923114,0.11980069,0.06609903,0.0550946
0.51713735,1450.2754,0.92889637,0.15499449,0.13181119,0.12721924,0.22435698,0.04783026
0.6703161,2849.0618,1.8004044,3.3177867,0.097221226,0.102429874,0.15319611,0.08086921
0.71510124,2332.3518,1.4214652,4.58077,0.09197933,0.096667245,0.12014012,0.07195063
0.609699,2230.676,2.9077199,0.7866452,0.03431597,0.099763215,0.08063844,0.23359294
0.61311865,3742.095,1.4823792,3.8157384,0.034262545,0.0866941,0.064965874,0.20514742
0.7340624,1227.4333,2.5248728,0.50384814,0.09366019,0.036277827,0.047058027,0.19594097
0.589563,4122.835,1.273343,2.9079375,0.106142595,0.079695664,0.05546105,0.030928135
0.7049089,3245.1567,2.2463586,10.752539,0.051804844,0.058828495,0.062540784,0.113583565
0.60850143,5797.7236,1.7665193,10.043558,0.08725347,0.063492104,0.08105341,0.07845409
0.6728508,3454.8943,1.4313092,7.526476,0.043181255,0.04418411,0.08624515,0.119252205
0.59408313,2073.687,2.5021472,0.61137044,0.07844671,0.10419856,0.04319018,0.10581475
0.6398347,2274.4705,2.0189276,1.108622,0.08428583,0.12859218,0.0560464,0.07814698
0.6196251,4621.0576,1.6448525,6.3179274,0.09015669,0.110744126,0.045309953,0.18910822
0.75021917,2284.2417,2.7364361,7.423333,0.06678125,0.119422145,0.08526087,0.24666995
0.6378016,3765.611,0.44234386,4.472267,0.23258217,0.09747991,0.059953354,0.02861026
0.59589237,3568.4392,2.354669,2.3627543,0.3656432,0.08675998,0.043557435,0.07146761
0.5700933,5643.0674,1.5044836,5.509346,0.34439373,0.23935995,0.09085773,0.14185527
0.49479088,7887.0645,3.3933694,3.6262724,0.3475254,0.22053137,0.07706362,0.09686421
0.80804276,1192.2678,0.14019506,2.15962,0.17468077,0.0313273,0.07401767,0.0740879
0.7037207,1352.4166,0.4276587,0.51049596,0.196071,0.07187964,0.08248873,0.15501717
0.5632966,3219.5496,0.08648708,1.2463158,0.08390245,0.055566587,0.05113763,0.042971745
0.6660679,2023.6713,0.20961118,1.2062842,0.08911662,0.05002344,0.07369732,0.04785686
0.5689155,3383.0073,4.231706,1.7581761,0.033564948,0.069588386,0.26523814,0.16266738
0.6559551,2918.1023,0.12233123,2.8735976,0.17448892,0.06491585,0.043042485,0.04748892
0.7120502,2323.7703,0.14194539,3.646564,0.1550783,0.0766637,0.056203965,0.049834725
0.59751135,6475.9106,1.6682944,10.470307,0.13736916,0.106779486,0.056660242,0.096576765
0.48260358,1111.9651,1.0802999,0.04780966,0.08659065,0.09056857,0.048087716,0.032907657
0.43604267,1417.1488,1.9354683,0.071454234,0.07929358,0.053586833,0.049397845,0.029719237
0.6325725,5290.5244,2.1119182,10.583968,0.041937962,0.15941574,0.08450971,0.15201008
0.6891411,3784.4307,1.4341569,11.323599,0.04638853,0.16498557,0.07553799,0.1132041
0.5521424,4326.805,0.743949,2.1467607,0.1802018,0.07802,0.085008584,0.18970278
0.51870716,2867.1099,1.3150055,0.71160024,0.136674,0.051494244,0.086770386,0.101713434
0.716724,2884.7075,2.2385957,9.202046,0.31286222,0.07259649,0.18278688,0.09574335
0.62744117,3445.9512,1.2376019,3.8099346,0.27060562,0.059516057,0.34668037,0.10018797
0.6409834,3448.1443,2.0339873,3.8261468,0.16932525,0.053992696,0.1316883,0.07285434
0.660616,3386.2449,2.1795394,5.889056,0.13357814,0.08253984,0.06593118,0.10723475
0.6672,2889.5862,4.1397123,3.6402848,0.10412222,0.11216463,0.06671506,0.07745228
0.6331842,2085.4912,0.7625287,0.73391783,0.053759113,0.16630894,0.106223576,0.11944143
0.63166213,4957.468,1.568593,8.081303,0.11278236,0.18647483,0.042525012,0.059738558
0.70489466,1967.1608,1.4744713,2.095555,0.22591758,0.07889478,0.09233418,0.051464126
0.49600363,4721.555,2.2814286,1.6103038,0.16477628,0.25949636,0.08194253,0.2932586
0.68952847,2275.6167,2.1800354,2.3029013,0.09181155,0.27134207,0.03512016,0.29013768
