layer,delta,y,y_se
1,Δ12,83.9275331205128,0.6689870338834223
1,Δ23,95.13212112591583,0.6530113961340063
1,Δ34,72.05784350357146,0.6419151517594248
2,Δ12,72.61373620719698,0.633080883855499
2,Δ23,94.85247145548237,0.6637091763573718
2,Δ34,67.2469411570176,0.859311047710905
3,Δ12,74.56033326585822,0.6682740907440688
3,Δ23,87.36754335560346,0.626310181701274
3,Δ34,68.83040915689656,0.932740449304455
4,Δ12,77.3788957703571,0.6268200277755926
4,Δ23,92.88417900949366,0.6036506127112014
4,Δ34,63.38595414999992,0.9093576426071334
5,Δ12,89.90232586961076,0.5451420987551989
5,Δ23,103.1366321615015,0.739417633686187
5,Δ34,73.23622091625629,0.9949661283904736
6,Δ12,94.99513407689395,0.5954088334977218
6,Δ23,100.26982523750007,0.803450948670576
6,Δ34,72.76025937500003,1.11636332890233
7,Δ12,89.58483330769235,0.5091426928748857
7,Δ23,88.97218362820507,0.49225585866926364
7,Δ34,60.19848339743584,0.9192297029555372
8,Δ12,75.4737992389278,0.6014992557604164
8,Δ23,85.38031893589744,0.4894956060250706
8,Δ34,61.88438559487173,0.7798622853889506
9,Δ12,75.9139525556298,0.532844535331863
9,Δ23,82.24286456826911,0.42573212179636977
9,Δ34,60.72944815018326,0.7536952173944719
10,Δ12,120.88921901282055,3.3289837832652123
10,Δ23,49.3739386224608,3.3188922275548265
10,Δ34,60.04250034805199,0.8807621321373883
11,Δ12,129.21702678604518,3.431811902730442
11,Δ23,51.88085513213667,3.454992090023224
11,Δ34,71.89368071818177,1.28707485534879
12,Δ12,98.74624757347709,0.5688643879503258
12,Δ23,100.02879447897823,0.8990023140597677
12,Δ34,72.1091710178572,1.0564211612218475
13,Δ12,38.72945436432366,2.8724923444661816
13,Δ23,90.62379889737792,0.5816503015929747
13,Δ34,59.293515511904786,0.7838141681055468
14,Δ12,75.9563006083917,0.5684214334987754
14,Δ23,81.10585701282048,0.47826326495704924
14,Δ34,59.97203154761894,0.943478556781039
