layer,flow_id,flow,p_mean,p_se
1,F1,2.91582835522733e-07,229.1627032,0.5830240035128947
1,F2,4.84503201019647e-07,313.0902363205128,0.3280650283586095
1,F3,6.87113630536953e-07,408.22235744642865,0.5646213072927276
1,F4,8.8972406005426e-07,480.2802009500001,0.3053814686738156
2,F1,2.91582835522733e-07,221.12609953030304,0.5648131856264789
2,F2,4.84503201019647e-07,293.7398357375,0.28596760453892084
2,F3,6.87113630536953e-07,388.5923071929824,0.5989427351051619
2,F4,8.8972406005426e-07,455.83924835,0.6161842880038091
3,F1,2.91582835522733e-07,205.53686117164176,0.5784424219397079
3,F2,4.84503201019647e-07,280.0971944375,0.33465597986639506
3,F3,6.87113630536953e-07,367.46473779310344,0.5294051556627927
3,F4,8.8972406005426e-07,436.29514695,0.7679420075281276
4,F1,2.91582835522733e-07,192.63138247014925,0.42711340474401494
4,F2,4.84503201019647e-07,270.01027824050635,0.4587782543981025
4,F3,6.87113630536953e-07,362.89445725,0.3923220303756071
4,F4,8.8972406005426e-07,426.28041139999993,0.8203747598810949
5,F1,2.91582835522733e-07,202.65629662406013,0.3288633062524332
5,F2,4.84503201019647e-07,292.5586224936709,0.43477446295285255
5,F3,6.87113630536953e-07,395.6952546551724,0.59808829061447
5,F4,8.8972406005426e-07,468.9314755714287,0.7951402349737998
6,F1,2.91582835522733e-07,242.57904506060603,0.36110391143739
6,F2,4.84503201019647e-07,337.5741791375,0.47340853831731355
6,F3,6.87113630536953e-07,437.84400437500005,0.6491669914343405
6,F4,8.8972406005426e-07,510.6042637500001,0.9082121444629437
7,F1,2.91582835522733e-07,269.79932066666663,0.3403162014739935
7,F2,4.84503201019647e-07,359.384153974359,0.37869666584510936
7,F3,6.87113630536953e-07,448.35633760256405,0.31449112176977534
7,F4,8.8972406005426e-07,508.5548209999999,0.8637584043722606
8,F1,2.91582835522733e-07,252.51262603030298,0.5552534858435292
8,F2,4.84503201019647e-07,327.9864252692308,0.23128969094826649
8,F3,6.87113630536953e-07,413.3667442051282,0.4314058729072965
8,F4,8.8972406005426e-07,475.25112979999994,0.6496723458738033
9,F1,2.91582835522733e-07,225.58013010687023,0.49791915719967034
9,F2,4.84503201019647e-07,301.49408266250003,0.18973616346547906
9,F3,6.87113630536953e-07,383.73694723076915,0.38111419260195495
9,F4,8.8972406005426e-07,444.4663953809524,0.6502372281872673
10,F1,2.91582835522733e-07,204.60511241666666,0.423121256406135
10,F2,4.84503201019647e-07,325.4943314294872,3.301984468712725
10,F3,6.87113630536953e-07,374.868270051948,0.33458061286299906
10,F4,8.8972406005426e-07,434.9107704,0.8147378393713024
11,F1,2.91582835522733e-07,206.75101386363636,0.41129190028854296
11,F2,4.84503201019647e-07,335.96804064968154,3.407076739446791
11,F3,6.87113630536953e-07,387.8488957818182,0.5734094816478621
11,F4,8.8972406005426e-07,459.7425765,1.1522860971249453
12,F1,2.91582835522733e-07,240.8387046796875,0.2865572566121566
12,F2,4.84503201019647e-07,339.5849522531646,0.4914179794848917
12,F3,6.87113630536953e-07,439.61374673214283,0.7528037792969718
12,F4,8.8972406005426e-07,511.72291775,0.7411559483357824
13,F1,2.91582835522733e-07,330.406670559727,2.849739240059299
13,F2,4.84503201019647e-07,369.13612492405065,0.36083033780860074
13,F3,6.87113630536953e-07,459.7599238214286,0.4562001103245476
13,F4,8.8972406005426e-07,519.0534393333334,0.6373743872033618
14,F1,2.91582835522733e-07,264.35997187878786,0.48933719331338305
14,F2,4.84503201019647e-07,340.31627248717956,0.2892266192814616
14,F3,6.87113630536953e-07,421.42212950000004,0.38089856038897435
14,F4,8.8972406005426e-07,481.394161047619,0.8631732582739337
