x1,x2,x3,x4,log_x3,b21,b32,b43,s21,s32,s43
0.6447116,4277.0576,0.27898854,10.3126135,-1.2765846,1.2180426,-3.3676186,-7.4456787,5.3962374,4.3774767,4.432163
0.61975396,5345.1494,0.0060331617,10.351604,-5.110484,0.03543817,-0.8888353,-10.285712,5.491541,4.078527,3.2822337
0.6189133,4517.691,0.57024115,10.425349,-0.56169593,7.8905425,5.053724,-6.312493,6.604043,4.6212006,4.958456
0.6348493,4632.161,0.007717554,10.272074,-4.864258,1.5128487,1.9216176,-4.8891106,4.1691923,3.528701,3.7837372
0.6355037,4140.716,0.047271747,10.33506,-3.0518425,8.362162,3.8467019,-1.9804198,4.9939885,4.0808764,3.400271
0.6210253,5721.2554,0.49602172,10.228981,-0.7011356,-3.1490066,4.9822946,-9.385772,4.930979,4.45337,3.6117945
0.6240846,5759.3496,0.4442112,10.179523,-0.81145513,-5.389245,4.6439843,-8.908909,4.745948,4.1879044,3.896275
0.62192744,5601.302,0.19000623,10.209913,-1.6606984,-3.4310513,4.4337077,-5.217029,4.925873,4.1225986,3.6329446
0.6208594,5708.484,0.09067796,10.205927,-2.400441,-0.889685,7.742224,-5.464075,5.728896,4.092574,3.3921652
0.61913085,5768.8193,0.042494394,10.209358,-3.1583831,-1.6552038,6.0201626,-5.0968194,4.950154,4.4464517,3.9690704
0.6192336,5718.3936,0.73136884,10.204311,-0.31283736,-1.4342526,5.960533,-3.5727682,4.6474776,3.9566512,4.739471
0.62463427,4620.134,0.0069210655,10.345467,-4.9731855,5.796336,3.8952298,0.0070471144,5.5229435,4.903652,3.1186175
0.6453011,4369.9243,1.0560707,10.247923,0.054555107,-1.9988018,5.2230897,-5.0863934,5.97194,4.4045205,4.7320313
0.63469505,4409.6416,0.002821291,10.3724165,-5.8705606,1.2811946,-2.4482858,-6.5445104,4.8718724,4.440537,3.3430915
0.6392091,4277.8726,0.0855869,10.357416,-2.458223,4.2080417,-2.4667573,-7.592053,4.68291,3.5898242,3.8128407
0.6326205,4298.3486,0.84068155,10.399181,-0.1735423,1.970959,-1.9465688,-5.892636,4.826747,4.080714,3.3962317
0.6500355,4051.6023,0.0007330378,10.227491,-7.218313,2.394373,4.3135266,0.67898977,5.633849,3.584367,4.486382
0.639149,4115.451,0.028156064,10.272809,-3.5699925,4.493244,7.821488,1.0934265,6.089954,4.0409536,3.642918
0.6421612,4457.7607,0.07467398,10.175007,-2.5946236,0.81435984,5.1128545,1.3347465,5.4824805,4.7285633,4.213938
0.6256625,5615.331,4.0906186,10.03387,1.4086962,-2.5507379,10.957645,-5.826838,5.0720015,3.791322,4.605363
0.6244298,5971.1865,3.4645798,10.039879,1.2425914,-3.604286,10.197339,-6.9716406,5.2484474,3.7494812,4.6134233
0.6337005,4873.7505,0.027025515,10.209214,-3.6109738,4.389277,5.5586195,2.2237449,6.174887,3.2336469,5.0898557
0.64639145,4235.787,0.015369024,10.259129,-4.175401,-1.626206,3.009422,-2.433642,5.1605587,4.0538125,4.8553696
0.6371988,4772.626,0.014422421,10.174114,-4.238971,1.0827323,5.3884363,-1.5794541,5.036595,4.0877743,4.80727
0.63905334,4551.331,0.104764946,10.2750635,-2.256036,-3.5575628,1.7564784,-5.0499926,5.5675125,3.995456,5.198939
