x1,x2,x3,x4,log_x3,b21,b43,s21,s43
0.61643696,5410.0522,0.42383432,10.165322,-0.8584126,-0.1693331,0.169509,5.499002,4.810949
0.6053645,6275.507,0.038418677,10.017399,-3.2592115,0.24275734,-0.6292395,4.550429,2.5366957
0.61074924,6002.0977,1.3805506,10.082264,0.32248244,-1.8975415,-1.0571963,3.781868,3.4890308
0.63823956,4654.792,0.0670664,10.147166,-2.7020721,-1.2753989,0.029746253,4.4258947,3.4713366
0.6149851,5540.8022,1.0723135,10.189867,0.06981847,1.6752342,0.55254877,6.4427037,3.4927263
0.61460686,5483.198,1.3900511,10.180101,0.32934055,1.647146,0.57470965,6.6351533,3.4247258
0.6155064,5502.496,0.07196807,10.219004,-2.6315327,0.4548635,-0.27187967,6.6274104,3.7990136
0.59435743,6873.1553,0.19477274,9.89891,-1.6359218,1.1821741,0.13723499,5.7159634,4.4223757
0.61520106,5947.3345,0.12572642,10.023866,-2.073647,0.3162022,0.6141732,4.853572,4.1038275
0.6112684,5774.125,0.1481799,10.160051,-1.9093282,0.5177856,1.2147573,4.9602294,3.5661948
0.6276255,5149.3125,0.24545313,10.153954,-1.4046493,1.1478281,0.91274357,4.460891,3.948861
0.6172751,5714.603,0.103917845,10.067412,-2.2641547,-0.4537727,-1.1873289,6.08131,3.9967756
0.6248906,5396.5205,0.8998443,10.107605,-0.105533525,-0.3603388,-1.3190145,5.8290815,3.8051424
0.63681865,4420.755,0.42640144,10.252582,-0.852374,-0.47610703,-1.0255382,5.526799,3.128822
0.60163194,6246.87,4.346083,9.95696,1.469275,-0.29944244,0.5616968,4.589193,3.6684012
0.5925947,6446.3066,9.938404,9.905846,2.2964065,-0.24041338,-0.071745224,4.808065,3.5324717
0.5912894,6945.172,0.053379506,10.024601,-2.9303284,1.6619263,1.0289512,4.4877877,3.3839042
0.6052557,6209.0234,0.03679316,10.079415,-3.3024433,2.0615287,1.4371982,5.1781354,3.113545
0.60988474,5655.8145,5.802842,10.123318,1.7583479,2.2514772,0.067063056,6.10244,3.4931865
0.62706125,4941.6333,0.6988967,10.182113,-0.35825235,0.83902586,0.60193557,5.5780697,2.989131
0.6273614,5131.3623,0.64738107,10.20456,-0.43482018,0.89856726,0.6019384,5.5482807,2.9032993
0.6107132,6047.0977,0.038570046,10.153859,-3.2552793,-0.2782165,-0.36131567,5.7685595,4.2687507
0.6138938,5820.6943,0.3839479,10.096956,-0.9572484,0.145184,0.29487434,5.0555334,4.1447954
0.61947334,5669.3354,0.26158413,10.076971,-1.3409994,-0.40443733,-0.41987565,5.123802,3.82689
0.6061555,6240.0483,0.86060375,10.079633,-0.1501211,-0.31948367,-0.60525244,5.343857,3.9799337
0.6137622,5809.321,0.22898953,10.085194,-1.474079,-0.33798155,1.7720795,5.1855173,4.5686374
0.6295828,5132.5205,0.1044499,10.156485,-2.2590477,1.2390809,-0.4511712,4.959365,3.789225
0.6302273,5112.9683,0.9762342,10.144481,-0.024052754,-0.8815354,0.19559966,4.74336,2.8502498
0.6132947,5916.4834,0.0153421955,10.101111,-4.1771483,-0.6631923,0.8118814,4.5564394,3.841464
0.5981014,6639.496,0.106687665,9.967792,-2.2378497,-0.46684715,0.4404087,5.7136583,4.236212
0.58160144,7399.5195,0.33449414,9.82203,-1.0951359,-0.47420725,3.406284,4.452819,3.7263608
0.64042014,4260.1553,0.54114467,10.309391,-0.6140686,-0.4256764,-1.6880794,6.3605833,3.703106
0.5806513,7157.285,3.765514,9.8639765,1.3258843,0.8881904,0.8018622,4.204119,3.696816
0.57989746,7305.6772,6.431076,9.88401,1.8611419,-1.2456856,0.89095765,4.580103,4.4731197
0.57329506,7434.314,4.377763,9.819994,1.4765378,-0.64256746,0.7201084,4.5721617,4.5132675
0.5941138,6628.7627,2.9798412,9.866449,1.0918701,-1.1670285,0.24470703,4.8573856,4.4683867
0.59905875,6427.657,3.5425365,9.900793,1.264843,-1.2506701,-0.42343348,4.5463295,4.7802987
0.62537885,5205.6357,2.107596,10.194697,0.74554795,-0.0735856,-0.8115547,4.8515425,3.5674403
0.6329375,4773.5034,0.90805125,10.150092,-0.09645447,-0.6953923,1.2079552,5.7320004,5.2170115
0.63252914,4738.3193,0.8169576,10.241587,-0.20216808,0.70487994,-0.65195876,4.4449415,3.2372208
0.6353127,4479.1665,2.4584763,10.274334,0.89954174,0.9983346,-0.43790013,5.078646,3.0841024
0.6344732,4568.4756,2.8409884,10.273027,1.044152,1.020551,-0.37989435,5.1226406,3.143924
0.614089,6012.6636,0.07844029,10.019244,-2.5454175,-0.9630481,2.2970278,5.954359,2.5213404
0.60266566,6469.8496,0.031881817,9.931859,-3.4457195,-0.5966013,2.6309385,5.295046,2.6619382
0.60645455,5897.423,1.0027279,10.131884,0.0027241206,1.0815736,1.2983778,6.00609,3.8987813
0.6310938,4792.4985,0.10806725,10.199747,-2.2250016,1.4247215,0.68994844,5.681126,4.64576
0.62185955,5528.814,1.1034242,10.113029,0.09841826,-2.0800958,-0.19991532,4.7027645,3.4024353
0.6245183,5357.032,0.5940641,10.17613,-0.520768,0.040534228,-1.155707,6.278743,3.585944
0.6042014,6355.2373,0.16632134,10.012335,-1.7938336,0.6049935,0.7494739,4.6029186,3.8368912
0.60012865,6421.9736,1.1669569,10.080097,0.15439944,0.21477568,-1.0700985,5.3703413,4.671537
0.630853,5024.754,0.09488583,10.145054,-2.3550808,-0.9522449,-2.5461414,4.9760303,3.6769483
0.6166997,5907.266,0.03422805,10.052789,-3.3747098,1.2581944,1.5288421,5.4891777,4.115662
0.6032842,6376.9346,1.254383,9.970406,0.22664382,-1.2253298,-0.11053621,5.498513,3.0043938
0.6128083,6129.763,1.0186745,9.999321,0.018502215,-0.59335506,-0.1935782,5.477924,3.2497177
0.5901985,6936.758,0.08944948,9.93938,-2.4140813,1.1388813,-1.1673187,5.4398117,4.3047605
0.60638666,6001.4897,0.8919333,10.053288,-0.114363864,-0.77371424,1.602594,5.7339334,4.0081086
0.59906477,6584.189,2.9432197,9.900261,1.0795041,-0.9517078,0.47091493,5.497876,3.3898127
0.5953583,6442.4634,6.5106697,9.880442,1.8734423,-1.0977719,-0.42288023,5.4427223,3.4925802
0.591763,6751.999,4.180598,9.873207,1.4304543,-0.91459876,-0.32381564,4.7659645,4.072276
0.632484,4522.082,0.37263733,10.300738,-0.9871496,0.3781751,-0.2667824,5.212325,3.7773623
0.6241207,5259.7246,0.14979066,10.212815,-1.8985165,0.90861964,-0.8306893,4.7450337,3.4023528
0.60178757,6073.706,7.7714405,10.019602,2.0504556,1.0241716,0.039235808,5.7355404,4.1480184
0.6149099,5939.0986,2.7513223,9.966121,1.0120816,-0.6365024,-0.033008955,6.3252687,3.7870617
0.6005723,5953.9526,9.174836,9.910273,2.2164645,-1.3738766,1.1601361,6.1677437,3.875733
0.61963755,5821.985,1.0929165,9.937008,0.088849835,-1.0840384,0.5304663,5.3161354,4.057377
0.6149344,5458.9434,0.030611118,10.202162,-3.486392,1.7319747,-0.38888383,5.376912,3.8526886
0.62890315,5287.1567,3.0500314,10.074175,1.1151519,-0.23927599,0.0706831,5.112946,4.583275
0.63348913,4956.4434,1.8497089,10.0887165,0.61502826,-0.14957386,0.71218777,4.9483914,4.5382648
0.6298979,4969.956,1.1106784,10.102262,0.10497103,-0.25359976,0.5595611,5.0043006,4.7643247
0.6039315,6157.3477,0.104021184,10.109881,-2.2631607,0.4160749,-0.3745797,5.51223,3.5204256
0.6100794,5765.2236,0.07894824,10.146017,-2.5389628,-0.16741706,0.48981008,5.34404,3.323296
0.61010456,6036.5327,0.017051274,10.138237,-4.0715303,0.31440917,-0.34042892,5.4864492,2.9179287
0.6029328,6528.8467,0.030439638,10.003174,-3.4920096,0.13975672,-0.2564775,5.5215025,2.6098444
0.6030636,6408.834,0.019726908,10.031169,-3.9257717,0.5012031,-0.56598806,5.5330734,2.7868986
0.6226555,5236.214,18.24865,9.9825945,2.9040911,0.14901789,0.06956768,5.019351,5.5890875
0.6225431,5384.9424,0.2855554,10.19321,-1.2533193,-1.2108799,-0.35882434,6.145941,4.415987
0.62917507,5049.685,0.25644043,10.193358,-1.3608589,0.69996375,-1.3921033,4.35927,3.482548
0.61438584,5917.957,0.08112479,10.029345,-2.5117667,-0.25225964,1.0671579,6.037132,4.1361375
0.6123473,5619.593,1.1196718,10.172926,0.113035634,-1.0659565,1.25709,6.022661,3.6605594
0.62582326,5328.2153,0.1855182,10.073111,-1.6846023,-0.19145139,0.3667898,5.1425633,3.93259
0.6171632,5441.5044,0.3189627,10.207618,-1.1426811,-0.007268298,0.46504542,5.5822954,4.40577
0.6261287,5322.001,0.39698994,10.100255,-0.92384434,0.17323692,-0.386567,5.1301107,3.5922515
0.6284003,4835.9224,0.37067166,10.255087,-0.9924386,-0.11334167,0.28213537,5.0278378,2.890539
0.6349301,4722.221,0.18189052,10.191556,-1.7043504,0.5500112,0.80737084,5.108504,3.5561917
0.6272532,5017.95,0.24962188,10.224773,-1.387808,-0.37832963,0.11459273,4.6448903,3.4828756
0.6208586,5441.9365,0.087451056,10.138885,-2.436676,-0.20064299,0.7299337,4.0823255,4.0630736
0.627653,5111.3086,0.22042614,10.18535,-1.5121926,-0.14482361,0.60979694,4.275273,3.7354379
0.62207973,5641.2,0.44517362,10.0004425,-0.8092909,-0.35305235,0.8142575,4.5413465,3.1145198
0.6193026,5680.4707,0.08099903,10.11301,-2.513318,2.4072251,-1.057906,6.3824573,4.1791463
0.62329185,5655.341,0.4990326,9.988365,-0.69508386,-2.803748,1.5715861,5.167337,4.100078
0.6399237,4355.546,0.15257028,10.2278,-1.8801299,-0.17629763,0.21126561,4.939799,4.0456147
0.62317777,5434.245,0.1545064,10.136158,-1.8675197,0.545132,0.582777,4.3249183,3.7782085
0.6323674,4797.5576,0.36953843,10.257794,-0.9955005,-0.4997196,0.42546287,4.181932,4.829044
0.6159642,5854.5415,0.12714928,10.094144,-2.0623934,-0.21406637,-0.5335247,5.0789995,3.804193
0.6090809,5980.9863,0.08765754,10.12006,-2.4343176,0.24587025,-0.78187996,5.2171283,3.7018719
0.60505694,6244.666,1.7740754,10.115127,0.5732794,1.3275145,-0.6790557,4.5304656,3.4142303
0.62586516,5236.0127,0.12362441,10.209257,-2.0905073,-0.6803636,0.44943458,5.977776,4.990783
0.63154733,5189.2515,0.12947905,10.103183,-2.0442362,0.27394098,-0.20393975,5.368638,3.7540033
0.62896466,5221.7764,0.08197864,10.123086,-2.5012965,0.08045725,0.030191908,5.540247,3.6998024
0.6214382,5336.038,0.44591692,10.161491,-0.8076226,0.23965043,0.09237891,5.793284,3.8697233
