x1,x2,x3,x4,log_x3,b21,b32,b43,s21,s32,s43
0.4575728,4957.4053,0.6307532,9.137889,-0.4608406,0.3846473,0.861604,-0.2500096,0.30316117,1.0001391,0.046411064
0.44891906,5979.234,0.02980976,9.329538,-3.5129194,-0.020355301,-0.6980962,0.7243646,1.3848736,1.123531,1.9721198
0.24971412,5252.323,2.3357096,8.274053,0.8483158,-0.17577334,1.2790235,3.0109098,1.5919591,2.1853065,0.74024755
0.43828338,4336.838,0.017581051,9.670922,-4.0409336,1.2309686,-0.19449775,-1.133713,2.4482064,1.7761471,0.7325065
0.3352127,5519.8594,0.15340233,9.217848,-1.8746912,0.007215882,1.1324471,1.2901564,0.26611292,0.23962355,0.44747543
0.18674386,2914.78,4.623325,8.070905,1.5311141,-0.65966016,-0.5300421,0.8340823,0.70123893,0.9072329,2.8268855
0.56962293,4173.503,0.13615774,10.025046,-1.9939412,-0.64627725,0.43905154,1.0957319,2.005304,0.5915709,0.67160445
0.42416063,5022.2256,0.19983774,9.440643,-1.6102495,-0.674448,0.23594321,0.3208503,2.3972352,1.077549,0.39124224
0.26184636,7523.8687,0.017755562,8.261649,-4.0310564,0.05448785,-0.8045473,-2.2284167,0.82534045,1.3388394,1.8139523
0.49931002,7057.919,0.00087573275,9.79226,-7.0404496,1.0235565,0.13107209,0.7041228,0.6253958,0.947915,3.5088866
0.39988112,4404.1826,2.4054785,9.249957,0.8777488,0.47558242,2.3130448,0.21283716,0.42007828,1.3035604,1.6696137
0.36983332,4895.33,0.38521925,9.325352,-0.95394266,-0.07572161,-0.53109676,0.08419718,1.790421,1.9491751,0.7526462
0.44063538,5205.198,0.21098262,8.967021,-1.5559795,-0.060672637,-1.9147873,-0.046537776,0.16188459,0.6862624,0.95755494
0.3336481,4254.173,0.07515926,8.773539,-2.588146,0.5480968,1.4890612,-0.55056816,0.3493112,2.1118805,0.30617946
0.4375741,5019.8267,0.17437208,9.804893,-1.7465639,1.449415,0.18334125,1.4152279,3.20399,0.2325231,1.6185608
0.41844264,5256.7896,0.23270535,9.254877,-1.4579822,0.015562304,1.1426901,-0.86612684,0.64401716,0.051853806,1.2818127
0.49111372,5177.786,0.23166183,9.986299,-1.4624766,-0.7885833,2.0800126,1.9363474,0.30827838,2.459052,1.5152413
0.42341974,5432.114,0.20206253,9.303076,-1.5991781,0.72468,-0.48620877,1.2646105,1.1799883,0.49294618,0.56293446
0.4246236,5512.4487,1.0742102,9.340433,0.071585715,-1.070012,1.0920895,0.81907845,1.2578834,1.8145479,2.2571013
0.30791637,4781.434,0.044722117,8.835318,-3.1072872,1.2658886,1.3799804,0.007328837,0.8046947,0.14150728,2.1329246
0.5377545,5851.8604,0.14095984,9.902188,-1.9592803,-1.0013999,-0.19909349,0.62471586,0.9354998,0.94682616,0.19420984
0.3744293,4161.698,5.0386267,9.101558,1.6171336,1.2832654,-0.0033054047,-0.1612145,0.70241183,0.16388014,0.50482345
0.5007766,3856.2722,1.8996284,9.348707,0.6416583,-0.33040002,-0.8459524,-0.047551274,2.1602721,2.1401434,0.91742575
0.47101098,5209.4624,0.91342974,9.244088,-0.09054883,0.039336447,0.33297828,0.02095978,1.0494452,0.32935852,1.122855
0.43901333,5819.6084,0.051350947,9.799545,-2.9690719,-0.733471,-0.24731903,2.0199044,0.936959,0.18225501,1.6366153
0.60274583,4357.512,0.68951035,10.158654,-0.37177357,0.026525859,0.77547896,0.24717994,1.9546659,0.11563968,0.5235669
0.5365114,4907.7295,0.25931367,9.924689,-1.3497169,0.96235996,0.732067,0.20958424,2.0667958,1.1194857,0.1560123
0.4125199,5882.016,0.63493234,9.24542,-0.4542368,0.7993582,0.6353443,0.6230982,0.33826438,0.5130759,0.7962678
0.27159047,5223.1724,0.036062513,8.740386,-3.3225014,0.48220947,-0.54588324,-1.752261,2.5185156,1.5180022,1.5326041
0.18720499,3778.6821,0.07118362,8.435266,-2.6424925,0.31544673,-0.077265605,-2.3533843,3.5395672,0.032517437,0.38677382
0.45186114,4360.695,0.031107543,9.4485655,-3.470305,-1.4401082,0.279408,-0.57616776,2.4016466,1.0949988,2.1170943
0.32150435,7002.6304,0.56509936,8.875125,-0.5707537,-0.5839673,-1.7929348,0.13448852,1.5771381,1.5629874,1.0389806
0.43086505,5627.6953,0.5345482,8.929629,-0.62633336,-0.48540652,0.59094936,-0.5836768,0.9994119,0.29741347,1.654716
0.4047815,4607.535,0.21547398,9.338187,-1.5349151,0.158134,0.5043085,-1.8611127,0.59688616,0.812178,1.5749137
0.44891614,5041.208,0.19565521,9.416162,-1.6314013,-0.6034206,0.39803082,-1.2138197,0.115193956,1.0803807,1.7774731
