x1,x2,x3,x4,log_x3,b43,s43
0.4575728,4957.4053,0.6307532,9.137889,-0.4608406,0.3846473,1.292406
0.44891906,5979.234,0.02980976,9.329538,-3.5129194,-0.020355301,1.0471443
0.24971412,5252.323,2.3357096,8.274053,0.8483158,-0.17577334,1.9185352
0.43828338,4336.838,0.017581051,9.670922,-4.0409336,1.2309686,0.29174662
0.3352127,5519.8594,0.15340233,9.217848,-1.8746912,0.007215882,1.6986706
0.18674386,2914.78,4.623325,8.070905,1.5311141,-0.65966016,0.7950632
0.56962293,4173.503,0.13615774,10.025046,-1.9939412,-0.64627725,0.6585773
0.42416063,5022.2256,0.19983774,9.440643,-1.6102495,-0.674448,0.35391483
0.26184636,7523.8687,0.017755562,8.261649,-4.0310564,0.05448785,1.206821
0.49931002,7057.919,0.00087573275,9.79226,-7.0404496,1.0235565,0.19660813
0.39988112,4404.1826,2.4054785,9.249957,0.8777488,0.47558242,3.469567
0.36983332,4895.33,0.38521925,9.325352,-0.95394266,-0.07572161,0.79664505
0.44063538,5205.198,0.21098262,8.967021,-1.5559795,-0.060672637,2.8721807
0.3336481,4254.173,0.07515926,8.773539,-2.588146,0.5480968,2.2335918
0.4375741,5019.8267,0.17437208,9.804893,-1.7465639,1.449415,0.27501187
0.41844264,5256.7896,0.23270535,9.254877,-1.4579822,0.015562304,1.714035
0.49111372,5177.786,0.23166183,9.986299,-1.4624766,-0.7885833,3.1200187
0.42341974,5432.114,0.20206253,9.303076,-1.5991781,0.72468,0.72931314
0.4246236,5512.4487,1.0742102,9.340433,0.071585715,-1.070012,1.6381341
0.30791637,4781.434,0.044722117,8.835318,-3.1072872,1.2658886,2.0699706
0.5377545,5851.8604,0.14095984,9.902188,-1.9592803,-1.0013999,0.29864022
0.3744293,4161.698,5.0386267,9.101558,1.6171336,1.2832654,0.004958107
0.5007766,3856.2722,1.8996284,9.348707,0.6416583,-0.33040002,1.2689285
0.47101098,5209.4624,0.91342974,9.244088,-0.09054883,0.039336447,0.4994674
0.43901333,5819.6084,0.051350947,9.799545,-2.9690719,-0.733471,0.37097853
0.60274583,4357.512,0.68951035,10.158654,-0.37177357,0.026525859,1.1632185
0.5365114,4907.7295,0.25931367,9.924689,-1.3497169,0.96235996,1.0981004
0.4125199,5882.016,0.63493234,9.24542,-0.4542368,0.7993582,0.95301646
0.27159047,5223.1724,0.036062513,8.740386,-3.3225014,0.48220947,0.8188248
0.18720499,3778.6821,0.07118362,8.435266,-2.6424925,0.31544673,0.1158984
0.45186114,4360.695,0.031107543,9.4485655,-3.470305,-1.4401082,0.41911203
0.32150435,7002.6304,0.56509936,8.875125,-0.5707537,-0.5839673,2.689402
0.43086505,5627.6953,0.5345482,8.929629,-0.62633336,-0.48540652,0.886424
0.4047815,4607.535,0.21547398,9.338187,-1.5349151,0.158134,0.75646275
0.44891614,5041.208,0.19565521,9.416162,-1.6314013,-0.6034206,0.5970462
0.40783283,4461.215,3.4403105,9.3748,1.2355617,-0.475687,0.3713485
0.3154595,5753.554,0.002205122,8.334973,-6.1169724,-0.78218406,0.73919624
0.4325021,5503.08,0.1193334,9.751833,-2.125834,0.089405075,2.774823
0.44585723,6161.574,0.23178287,10.065849,-1.4619542,-1.6126167,1.9957892
0.43739134,5794.512,7.773811,8.939972,2.0507605,-0.84073085,0.9659449
0.47709092,5106.052,0.003286683,9.437161,-5.7178764,-0.07052541,3.5957868
0.52818084,6240.697,0.17380482,10.208861,-1.7498224,-1.4155799,1.2487642
0.34501746,3346.218,3.1480849,8.866532,1.1467943,-1.392785,0.94574267
0.50948536,5476.934,0.46551993,9.7435665,-0.76460034,1.0100335,0.62768024
0.39341128,4929.392,0.3889095,9.426105,-0.94440866,-0.5386807,1.1760993
0.40812117,3855.8855,9.472972,9.75053,2.2484426,-0.35240117,0.4762833
0.42615995,4824.017,10.519175,9.483871,2.3531997,-0.6726448,1.6536696
0.4282755,3364.4702,0.1101054,9.217742,-2.2063172,2.0683684,2.632514
0.28382313,4594.479,0.103196114,8.7237015,-2.2711241,-1.5511304,0.27375072
0.530958,4915.392,0.012509331,9.60479,-4.3812804,2.2496004,0.8085418
0.4657841,7018.715,0.14110376,9.930378,-1.9582598,0.5630142,1.2012714
0.43303272,5090.3535,0.18233162,9.923596,-1.7019281,1.5275298,0.5706227
0.45154795,4804.3394,0.06661825,8.938363,-2.7087767,1.3235914,0.5541432
0.26953956,6403.09,0.009811919,8.505233,-4.6241574,-0.8711953,1.7482357
0.4707188,4716.2524,1.3006253,9.944229,0.26284516,0.45568776,0.6666892
0.4856549,4919.37,0.06959075,9.922498,-2.6651237,-2.2053182,1.3649179
0.43866596,3626.0532,0.1787129,9.191325,-1.7219746,-0.2409877,2.1091967
0.37137815,5190.008,5.2044997,8.832355,1.6495236,0.43782192,0.7250131
