layer,flow1_mean_m3s,flow2_mean_m3s,flow3_mean_m3s,flow4_mean_m3s,flow1_se_m3s,flow2_se_m3s,flow3_se_m3s,flow4_se_m3s,p1_psi,p1_se_psi,p2_psi,p2_se_psi,p3_psi,p3_se_psi,p4_psi,p4_se_psi,p1_pa,p1_se_pa,p2_pa,p2_se_pa,p3_pa,p3_se_pa,p4_pa,p4_se_pa,d12_psi,d12_se_psi,d23_psi,d23_se_psi,d34_psi,d34_se_psi,d12_pa,d12_se_pa,d23_pa,d23_se_pa,d34_pa,d34_se_pa
1,2.936271975353987e-07,4.893002251365586e-07,6.850936648954236e-07,8.81212682379579e-07,2.539021683544292e-10,5.332308003595714e-10,8.972141219063233e-10,2.0003381104209284e-09,229.1627032,0.5830240035128947,313.0902363205128,0.3280650283586095,408.22235744642865,0.5646213072927276,480.2802009500001,0.3053814686738156,1580021.839515232,4019.8105784605664,2158682.037773219,2261.9296349258066,2814595.1812273385,3892.928404669607,3311416.7183020227,2105.531934953477,83.9275331205128,0.6689870338834223,95.13212112591583,0.6530113961340063,72.05784350357146,0.6419151517594248,578660.1982579869,4612.505041738064,655913.1434541194,4502.3568536089015,496821.5370746844,4425.850911744812
2,2.936769092120392e-07,4.894461438008119e-07,6.848552378973245e-07,8.803802954599045e-07,2.6517277801534065e-10,5.341661229829079e-10,8.989805388196364e-10,1.9244412897131956e-09,221.12609953030304,0.5648131856264789,293.7398357375,0.28596760453892084,388.5923071929824,0.5989427351051619,455.83924835,0.6161842880038091,1524611.3859975522,3894.2513597300217,2025265.6698494856,1971.6780010707698,2679250.6959418873,4129.566412293667,3142902.215953646,4248.442781557143,72.61373620719698,0.633080883855499,94.85247145548237,0.6637091763573718,67.2469411570176,0.859311047710905,500654.28385193343,4364.94075477154,653985.0260924017,4576.115480781753,463651.5200117587,5924.74343931524
3,2.936449683758137e-07,4.893211809485681e-07,6.850895090315895e-07,8.812222091129858e-07,2.5318262116225337e-10,4.843014674312342e-10,8.919628324067153e-10,1.915984009267051e-09,205.53686117164176,0.5784424219397079,280.0971944375,0.33465597986639506,367.46473779310344,0.5294051556627927,436.29514695,0.7679420075281276,1417127.3289317887,3988.2216730930204,1931202.9323198975,2307.372663743626,2533581.175546378,3650.1214910575964,3008150.3273849823,5294.775835824633,74.56033326585822,0.6682740907440688,87.36754335560346,0.626310181701274,68.83040915689656,0.932740449304455,514075.6033881086,4607.589469898577,602378.2432264806,4318.2583883866755,474569.1518386042,6431.021540246385
4,2.93645849223441e-07,4.894262898600211e-07,6.848264135693229e-07,8.804088424633735e-07,2.653206561682298e-10,5.606945360965781e-10,8.94721668159969e-10,1.9356957740384234e-09,192.63138247014925,0.42711340474401494,270.01027824050635,0.4587782543981025,362.89445725,0.3923220303756071,426.28041139999993,0.8203747598810949,1328147.1505998862,2944.8444184928444,1861656.0660015137,3163.165957293861,2502070.18806901,2704.966242152521,2939101.1293042637,5656.287079437778,77.3788957703571,0.6268200277755926,92.88417900949366,0.6036506127112014,63.38595414999992,0.9093576426071334,533508.9154016273,4321.773654706045,640414.1220674965,4162.026098496683,437030.9412352535,6269.802699941959
5,2.9364632388617666e-07,4.89327909644161e-07,6.850889839221736e-07,8.812594031553407e-07,2.652367912591381e-10,5.542144097658216e-10,9.206465629517177e-10,1.97734372314112e-09,202.65629662406013,0.3288633062524332,292.5586224936709,0.43477446295285255,395.6952546551724,0.59808829061447,468.9314755714287,0.7951402349737998,1397266.5277117048,2267.4335694170263,2017121.4880244625,2997.6655761888096,2728223.8139862963,4123.675222597023,3233169.9805108635,5482.301086487956,89.90232586961076,0.5451420987551989,103.1366321615015,0.739417633686187,73.23622091625629,0.9949661283904736,619854.9603127575,3758.6239368133956,711102.325961834,5098.107124034174,504946.16652456723,6860.052663381502
6,2.936463792120385e-07,4.894226521230147e-07,6.848551725026751e-07,8.807494949140252e-07,2.58895337306307e-10,5.558663777988984e-10,9.15786372464253e-10,1.9144561306798332e-09,242.57904506060603,0.36110391143739,337.5741791375,0.47340853831731355,437.84400437500005,0.6491669914343405,510.6042637500001,0.9082121444629437,1672524.296722064,2489.724804422059,2327492.9473500694,3264.038253648681,3018829.3276045755,4475.850605861834,3520493.853532951,6261.904765157326,94.99513407689395,0.5954088334977218,100.26982523750007,0.803450948670576,72.76025937500003,1.11636332890233,654968.6506280054,4105.201008846752,691336.380254506,5539.601462855941,501664.52592837525,7697.057225582629
7,2.9364540814050477e-07,4.893286490459644e-07,6.848616036673755e-07,8.811415425455083e-07,2.6087160614286863e-10,5.821652123207088e-10,9.332479792387163e-10,2.005751304097395e-09,269.79932066666663,0.3403162014739935,359.384153974359,0.37869666584510936,448.35633760256405,0.31449112176977534,508.5548209999999,0.8637584043722606,1860201.5641597065,2346.3985332748316,2477867.4894562513,2611.0226238022265,3091309.3422486545,2168.340806733376,3506363.437637959,5955.406896129688,89.58483330769235,0.5091426928748857,88.97218362820507,0.49225585866926364,60.19848339743584,0.9192297029555372,617665.9252965449,3510.416673126047,613441.8527924032,3393.9860041184925,415054.09538930474,6337.86818674972
8,2.936453202219457e-07,4.893761587448855e-07,6.848500904577509e-07,8.807472311449644e-07,2.531443139767703e-10,5.36508880447153e-10,9.195148177389854e-10,1.8595906746682985e-09,252.51262603030298,0.5552534858435292,327.9864252692308,0.23128969094826649,413.3667442051282,0.4314058729072965,475.25112979999994,0.6496723458738033,1741013.9534486919,3828.3395240545315,2261387.6854892815,1594.68690956247,2850064.49327575,2974.4399562863114,3276742.4796998478,4479.334903436864,75.4737992389278,0.6014992557604164,85.38031893589744,0.4894956060250706,61.88438559487173,0.7798622853889506,520373.73204058985,4147.193008646689,588676.8077864682,3374.954724597416,426677.98642409785,5376.963290808321
9,2.936461718827784e-07,4.893159341161368e-07,6.848472256920029e-07,8.81508628472377e-07,2.6842619057821596e-10,5.312853905136264e-10,9.404664073873522e-10,1.8511918910924105e-09,225.58013010687023,0.49791915719967034,301.49408266250003,0.18973616346547906,383.73694723076915,0.38111419260195495,444.4663953809524,0.6502372281872673,1555320.8578556445,3433.0330882939993,2078729.3413780988,1308.1853104152465,2645774.154288818,2627.690890584255,3064489.1242167754,4483.229631416443,75.9139525556298,0.532844535331863,82.24286456826911,0.42573212179636977,60.72944815018326,0.7536952173944719,523408.48352245416,3673.8351884247163,567044.8129107192,2935.3208040767386,418714.9699279575,5196.547637082709
10,2.93650314818878e-07,4.893933841023831e-07,6.850552988872424e-07,8.807644887117349e-07,2.56581323198175e-10,5.042659897422045e-10,8.997337922944749e-10,1.864896557054234e-09,204.60511241666666,0.423121256406135,325.4943314294872,3.301984468712725,374.868270051948,0.33458061286299906,434.9107704,0.8147378393713024,1410703.1448859368,2917.3195138187634,2244205.2965667713,22766.390435501748,2584626.753623369,2306.8530263432913,2998605.383323104,5617.4218653836815,120.88921901282055,3.3289837832652123,49.3739386224608,3.3188922275548265,60.04250034805199,0.8807621321373883,833502.1516808346,22952.544229505656,340421.4570565978,22882.965374855918,413978.6296997349,6072.64351817558
